tag, x, y, z
"Liljeholmstorget Galleria", 3119.38, 3509.77, 32.68
"Stora Katrinebergs gård", 3411.33, 3936.32, 26.32
"BUS", 2952.91, 3100.17, 36.18
"Beundra", 3450.34, 2612.27, 105.65
"Stockholms Innebandycenter", 2633.08, 2970.88, 44.22
"Tellusborgshallen", 2874.51, 2859.75, 61.06
"Hus Ottar", 2620.10, 5717.12, 36.03
"Rålambshovs gård", 3268.49, 5488.87, 27.53
"Riksarkivet Marieberg", 3147.59, 5460.42, 47.93
"Erlanderhuset", 3041.49, 5425.12, 93.42
"Silvieberg 3", 2935.05, 5435.20, 83.52
"Socialstyrelsen", 3019.18, 5574.81, 46.34
"Annexet", 3193.84, 5325.36, 17.91
"Triewalds malmgård", 2902.04, 5282.76, 25.18
"Villa Adolfsberg", 2496.35, 5359.56, 27.34
"Byggarnas Hus", 2555.19, 5471.65, 59.98
"DN-Huset", 2707.73, 5541.10, 62.27
"Hus Russeau", 2810.33, 5742.29, 36.20
"Hus Erasmus", 2534.29, 5753.27, 41.12
"Hus Elsa Beskow", 2577.36, 5736.16, 38.95
"Hus Marie Curie", 2540.81, 5722.84, 40.16
"Hus Amos", 2575.59, 5698.92, 41.20
"Hus Vygotskij", 2600.95, 5806.60, 42.35
"Hus Whitlock", 2613.59, 5772.99, 38.73
"Hus Uffe", 2699.72, 5691.66, 32.65
"Hus Uffe", 2666.31, 5702.76, 32.10
"Bostäder", 2681.77, 5750.17, 35.76
"Hus Dewey", 2518.22, 5740.25, 41.12
"Hus Montessori", 2517.11, 5693.46, 40.12
"Hus Alice Tegner", 2449.52, 5732.23, 40.91
"DN-skrapan", 2770.27, 5608.99, 121.14
"Sweco", 2863.95, 5585.94, 88.02
"Bostäder", 2641.30, 5765.18, 37.03
"Bostäder", 2650.53, 5739.96, 34.68
"Hus Zilliacus", 2467.61, 5791.11, 42.19
"Bostäder", 2697.89, 5785.75, 41.30
"Toalett Långholmsbadet", 3278.67, 4900.51, 23.03
"Toalett Rålambshovspark", 3332.59, 5606.43, 26.26
"Årstaligans förskola", 4007.31, 2204.29, 29.69
"Capital Hotel", 3752.24, 1943.50, 46.94
"Sjöholmens gruppbostad", 3975.27, 603.35, 52.52
"Örby grindstuga", 3913.58, 593.65, 47.41
"Örby Slott", 3598.16, 353.67, 45.63
"OKQ8 Årsta", 3826.90, 1933.07, 32.99
"Trädgårdshallen", 3749.76, 1731.43, 30.68
"Kvarntorp", 3832.55, 736.30, 46.27
"Äppleängen", 3886.05, 359.10, 36.95
"Östberga Kulturhus", 3753.27, 1177.45, 54.40
"Toalett Årsta/Berg", 3585.62, 2429.59, 35.84
"Lorensberg 1", 3603.45, 4615.58, 24.39
"Heleneborg", 3818.88, 4655.94, 31.71
"Hornhuset", 3772.79, 4335.45, 45.47
"Bergsundsskolan", 3718.98, 4362.64, 53.38
