tag, x, y, z
"Förskolan Glasmålningen", 4818.98, 202.26, 54.47
"Vittra", 5827.60, 2228.62, 23.60
"Fitness 24 Seven", 5059.93, 314.54, 47.02
"Körsbärsgården", 5125.82, 281.20, 59.74
"Hammarbyskolan norra", 5320.59, 1130.57, 65.53
"Two Thai Take-Away", 4841.42, 1312.32, 63.42
"Kulturama", 5243.17, 1831.80, 49.86
"Hammarbyhemmet", 5025.32, 1031.47, 71.07
"Södermalmskyrkans kristna skola", 5373.91, 1186.54, 71.67
"Björkhagen skateboardpool", 5773.56, 350.62, 52.12
"Glashus Ett", 5587.63, 1966.01, 21.29
"Kajutan", 5527.45, 2080.73, 15.80
"Biz Apartment Hammarby Sjostad", 5287.91, 1796.45, 53.11
"Copper Club", 5288.13, 1824.97, 28.24
"Hammarbyskolan norra", 5301.98, 1095.75, 59.45
"Hammarbyskolan norra", 5335.73, 1174.64, 71.52
"Förskolan Eken", 5414.95, 1174.83, 65.67
"Hammarbykyrkan", 5003.22, 1049.56, 70.67
"Cirkus", 5364.16, 4414.28, 36.24
"Sollidenscenen", 5467.51, 4490.60, 51.27
"Skogaholms herrgård", 5646.86, 4512.79, 53.14
"Logen", 5603.02, 4560.18, 58.31
"Viking Line terminal", 5180.92, 3422.49, 23.77
"Vasamuseet", 4869.49, 4773.44, 23.08
"Eurenii", 5028.13, 2963.21, 38.53
"Barnängshuset", 5187.78, 2800.70, 32.79
"Hovings malmgård", 5400.31, 3059.28, 27.12
"Barnängens herrgård", 5152.89, 2628.00, 26.07
"Solidaritetens hus", 5199.59, 2656.68, 32.22
"Galärskjulen", 5013.97, 4665.80, 17.53
"Biologiska museet", 5235.62, 4665.97, 29.49
"Jägarhyddan", 5179.54, 4622.03, 25.70
"Hasselbacken", 5302.54, 4463.23, 37.91
"Liljevalchs konsthall", 5142.04, 4485.98, 30.40
"Djurgårdskyrkan", 5270.16, 4328.20, 19.28
"Villa Hasselbacken", 5272.73, 4508.88, 38.60
"Villa Jägarbacken", 5265.02, 4532.77, 40.43
"Röda längan", 5441.07, 4619.05, 54.49
"Dyktankhuset", 4984.52, 4669.96, 20.86
"Abbamuseet", 5169.20, 4416.07, 25.34
"Skogaholms-köksflygel", 5662.50, 4480.30, 51.39
"Biblioteksflygeln", 5618.45, 4492.18, 51.92
"Högloftet", 5817.69, 4724.70, 59.30
"Bredablick", 5837.79, 4687.85, 86.23
"Ekshäradsgården", 5878.75, 4514.51, 53.97
"Seglora kyrka", 5746.99, 4564.99, 64.83
"Sagaliden", 5408.51, 4664.39, 49.72
"Gula huset", 5469.24, 4661.47, 55.27
"Bollnässtugan", 5602.49, 4634.09, 52.77
"Log- och loftbyggnad", 5540.59, 4639.22, 55.78
"Kyrkhultsstugan", 5730.95, 4606.96, 58.24
"Ordenshuset Brofästet", 5829.63, 4638.99, 64.20
"Hällestadsstapeln", 5734.82, 4410.73, 79.33
"Statarlängan, Skansen", 5721.33, 4438.57, 50.30
"Greksåsarboden", 5806.66, 4609.99, 61.83
"Laxbrostugan", 5797.73, 4587.20, 55.00
"Yrstatorpsboden", 5815.93, 4594.22, 61.43
"Missionshuset", 5841.21, 4579.03, 61.51
"Väla Skola", 5770.33, 4435.20, 52.15
"Uthuset", 5785.07, 4419.28, 53.99
"Gubbhyllan", 5409.56, 4417.54, 35.25
"Villa Diorama", 5541.64, 4328.15, 31.98
"Vårt Afrika", 5603.74, 4344.51, 39.01
"Galejan", 5683.05, 4374.75, 47.64
"Skånegården", 5839.40, 4391.67, 51.22
"Kronbergs ateljé", 5851.94, 4620.22, 63.45
"Fröstorp", 5878.32, 4645.01, 61.68
"Weylandtska villan", 5887.76, 4196.69, 25.45
"Lilla Rosenvik", 5716.11, 4184.88, 24.43
"Alberget 4A", 5747.87, 4186.78, 25.52
"Alberget 4B", 5796.43, 4189.08, 25.30
"Sofiedal", 5816.00, 4188.79, 25.22
"Lilla Berga", 5842.03, 4198.07, 26.07
"Villa Kåa", 5678.48, 4199.77, 24.70
"Franska värdshuset", 5544.88, 4186.23, 25.35
"Djurgårdsvarvet", 5396.75, 4116.13, 21.87
"Gamla Dockmästarbostaden", 5457.90, 4032.83, 19.30
"Stenvillan", 5419.66, 3972.34, 24.21
"Dansbana", 5257.02, 4276.63, 23.19
"House of Nightmares", 5226.10, 4174.15, 21.99
"Saltsjökvarn", 5917.74, 3254.11, 48.92
"Villa Bergsgården", 5642.61, 4282.56, 32.71
"Villa Bergabo", 5678.52, 4267.98, 33.44
"Djurgårdsskolan", 5725.10, 4266.08, 36.53
"Sjövillan", 4809.22, 4211.13, 10.50
"Kolskjulet", 4821.89, 4077.77, 16.14
"Främmestadskvarnen", 5723.57, 4473.13, 56.91
"Boktryckeriet", 5376.11, 4550.97, 40.99
"Jakobsberg malmgård", 5441.45, 4559.89, 45.41
"Posthuset", 5554.52, 4597.17, 54.33
"Kastellet", 4799.83, 4153.69, 18.30
"Stockholm Vatten och Avfall", 5846.42, 2831.57, 36.15
"Byströms villa", 5272.47, 4569.44, 41.53
"Kättingflygaren", 5047.09, 4224.72, 15.07
"Tekopparna", 5207.26, 4293.65, 21.60
"Krejsy's", 5235.95, 4254.40, 22.91
"Spanska Trappan", 5192.64, 4272.36, 21.09
"Cirkuskarusellen", 5209.18, 4337.83, 22.67
"Stora Scen", 5197.80, 4205.81, 21.22
"Spelhuset", 5216.49, 4149.27, 20.27
"Ersta kyrka", 4865.76, 3456.69, 56.06
"Hedbergs malmgård", 5162.41, 3156.64, 41.14
"Gröna gården", 5270.81, 3146.32, 35.43
"Fåfängan", 5449.37, 3273.61, 47.95
"Hölada", 5523.84, 4684.80, 48.39
"Vaktstugan", 5498.42, 4612.95, 52.10
"Hazeliushuset", 5454.18, 4575.15, 45.32
"Bragehallen", 5881.05, 4691.68, 57.83
"Hackstugan", 5675.55, 4668.38, 58.17
"Kaplansloftet", 5675.83, 4680.61, 56.42
"Krukmakeriet", 5385.46, 4498.83, 41.79
"Mekaniska Verkstaden", 5355.49, 4507.94, 39.81
"Järnhandlarhuset", 5376.73, 4570.69, 36.48
"Snickeriet", 5358.16, 4477.23, 39.38
"Skomakeriet", 5405.10, 4495.50, 38.20
"Garveriet", 5372.92, 4518.49, 40.52
"Sparbanken", 5415.71, 4510.17, 39.86
"Bageriet", 5400.46, 4516.69, 41.72
"Spannmålshandlarens lusthus", 5455.71, 4525.29, 50.95
"Plåtslageriet", 5418.75, 4543.14, 41.23
"Stockholms Glasbruk", 5388.45, 4463.65, 40.01
"Stora Gungan", 5404.43, 4476.10, 37.75
"Baltic Sea Science Center", 5625.97, 4381.44, 45.61
"Huvudingång", 5442.90, 4354.63, 31.37
"Djurgårdsstationen", 5754.74, 4348.81, 47.96
"Dansbana / Radiobilar", 5611.27, 4598.85, 57.36
"Bobergs Observatorium", 5417.58, 4467.33, 37.58
"Kägelbanan", 5405.05, 4399.89, 35.75
"Swedenborgs lusthus", 5376.56, 4601.10, 36.46
"Novilla", 5492.69, 4341.93, 31.60
"Tingvallsscenen", 5590.97, 4688.85, 50.63
"Patons Malmgård", 5376.32, 3334.92, 24.07
"Lundins Villa", 5400.45, 3337.37, 25.57
"Bergshyddan", 5593.07, 3311.69, 22.88
"P-hus Viking", 5137.20, 3356.75, 22.45
"Musikpaviljongen", 4843.54, 2777.26, 52.31
"Alkärrshallen", 5034.59, 4483.58, 19.55
"Boställshuset", 5420.99, 4049.24, 19.37
"Mjölnargården", 5191.08, 4313.04, 19.89
"Apotekshuset", 5215.08, 4253.71, 19.80
"Barnradiobilarna", 5167.86, 4222.48, 19.79
"Rock-Jet", 5122.71, 4175.39, 19.90
"Järnvågshuset", 5179.33, 4329.17, 17.37
"Viking Line Bilincheckning", 4843.54, 3569.42, 21.18
"Danvikens hospital", 5797.21, 3224.71, 19.31
"Eclipse", 5152.00, 4197.26, 22.16
"Jetline", 5105.64, 4205.22, 19.23
"Dödgrävarens hus", 5323.90, 4246.05, 28.26
"Växthuset", 5827.71, 4351.78, 47.02
"DanvikCenter", 5916.54, 3014.49, 65.07
"Bagarstugan", 5556.89, 4650.17, 53.11
"Djurgårdspaviljongen", 5496.28, 4384.27, 37.71
"Allmänna Gränd-Djurgården", 5126.19, 4379.32, 22.25
"Hekto", 5061.55, 4165.79, 15.30
"Kyrkoherdens lusthus", 5372.44, 4533.34, 40.49
"Vasslandsboden", 5793.26, 4625.48, 61.96
"Hönshuset", 5371.75, 4505.73, 40.42
"Skvaltkvarnen", 5863.09, 4478.99, 48.69
"Smedjan", 5719.17, 4531.81, 53.82
"Lusthuset från Bellmansgatan", 5691.03, 4515.83, 53.76
"Virserumsboden", 5794.32, 4454.69, 52.55
"Hönshus", 5704.48, 4433.22, 48.65
"Jordkällaren", 5705.09, 4449.62, 48.62
"Dass", 5786.45, 4438.27, 49.57
"Kinesiska solparasollet", 5437.48, 4396.21, 30.77
"Spedition", 5340.63, 3304.06, 20.44
"torn", 5152.34, 4197.38, 133.16
"Toalett Stora Mejtens Gränd", 4860.15, 2909.88, 50.62
"Fritt fall", 5193.80, 4229.64, 92.63
"Katapulten", 5079.41, 4212.84, 64.30
"Lyktan", 5229.01, 4294.82, 25.98
"Flygande Mattan", 5142.51, 4140.26, 18.11
"Tullpaviljongen", 5394.28, 4030.43, 19.50
"Berwaldhallen", 5394.72, 5369.12, 35.53
"Villa Åkerlund", 5371.26, 5203.42, 34.00
"Gustav Adolfs kyrka", 5274.99, 5845.40, 39.82
"Finlands ambassad", 5746.80, 5633.04, 31.35
"Radiohuset", 5516.78, 5476.22, 60.50
"Östra stallet", 4860.80, 5400.89, 38.30
"Oscarskyrkan", 4991.80, 5384.57, 105.43
"Kanslikasernen", 4797.50, 5476.84, 35.32
"Karl Johans-förrådet", 5509.21, 5635.64, 34.49
"Villa Bonde", 5580.44, 5328.61, 26.24
"Villa Wikström", 5614.88, 5327.09, 24.92
"Bünsowska villan", 5658.06, 5313.36, 23.19
"Villa Hjort", 5707.08, 5319.51, 26.47
"Villa Bonnier", 5621.43, 5285.22, 26.95
"Villa Josephson", 5593.87, 5259.50, 24.31
"Tillbergska villan", 5559.93, 5248.67, 24.47
"Brittiska residenset", 5510.87, 5218.75, 25.17
"Tryggerska villan", 5443.63, 5225.92, 28.88
"Villa Gumaelius", 5416.90, 5254.44, 31.13
"Törnerska villan", 5433.17, 5344.70, 28.50
"Förenta staternas ambassad", 5706.43, 5407.36, 32.49
"Italienska kulturinstitutet", 5813.39, 5561.90, 28.90
"Stenskjulet", 5588.10, 5532.95, 31.24
"Fredrikshovs slott", 5044.23, 5332.10, 33.93
"Skånska gruvan", 5520.05, 4831.75, 34.22
"Kungliga Motorbåt Klubben", 5094.68, 5167.61, 21.15
"Back Mats Stuga", 5648.71, 4710.55, 52.11
"Vastveitloftet", 5756.17, 4869.12, 41.34
"Noraboden", 5856.16, 4712.27, 61.68
"Edsängsstugan", 5606.08, 4746.54, 51.73
"Stenstugan", 5556.87, 4720.85, 49.92
"Skogens hus", 5535.98, 4733.03, 52.32
"Linneberedningsverket", 5542.86, 4768.07, 46.16
"Skogsarbetarkojan", 5517.89, 4757.56, 41.66
"Håsjöstapeln", 5497.92, 4729.66, 48.54
"Nyloftet", 5797.44, 4719.70, 59.89
"Stolpboden", 5628.28, 4805.87, 48.61
"Samevistet", 5640.54, 4802.92, 49.89
"Makalös", 5419.98, 4743.34, 28.40
"Fjeldstuen", 5468.68, 4798.01, 34.57
"Vadmalstampen", 5515.39, 4788.00, 36.36
"Gretes", 4921.91, 5196.90, 33.22
"Gärdesgrinden", 5675.34, 5563.43, 32.04
"Timmerkåtan", 5636.87, 4773.21, 53.09
"Ponte Fiore", 5019.62, 5165.87, 25.87
"Nordiska museet", 5013.66, 4896.08, 79.38
"Lusknäppen", 4970.13, 4908.02, 30.32
"Princess Hall", 5487.23, 5299.17, 34.62
"Engelska kyrkan", 5508.43, 5289.69, 32.61
"Krutkällaren", 5535.10, 5609.62, 33.76
"Kontorshuset", 5477.69, 5655.81, 39.61
"Kunskapshuset", 5576.41, 5633.61, 35.15
"TV-huset", 5601.80, 5726.56, 36.03
"Njallan, Saemien sïjte", 5637.39, 4767.28, 53.70
"Karlagrillen", 4738.77, 5807.90, 44.45
"Galärvarvskapellet", 5027.65, 4753.23, 30.20
"Bauhaus", 6260.73, 1918.34, 54.52
"Markuskyrkan", 6388.15, 734.21, 54.93
"Duggregnet 5", 6376.83, 577.61, 99.14
"Företagarecentrum", 6495.71, 2173.56, 31.99
"Kinnarpshuset", 6225.81, 2137.47, 40.23
"Fanny Udde", 6300.07, 2361.05, 25.02
"Sickla Front", 6204.69, 2175.78, 39.75
"Sickla Front", 6202.89, 2199.23, 32.64
"Sickla Front", 6211.53, 2222.91, 39.06
"Atlas Copco-huset", 6459.51, 2047.99, 61.70
"Miljöstuga", 6150.17, 209.77, 52.58
"Business Lounge", 6493.59, 2085.69, 41.50
"Formalinfabriken", 6405.21, 2239.70, 41.73
"Stora växhuset", 6278.80, 4694.63, 36.39
"Gamla huset", 6123.27, 3886.00, 25.17
"Waldemarsuddes oljekvarn", 6302.43, 3872.08, 22.88
"Henriksborg", 5991.06, 3090.28, 57.32
"Fritidsgården Glada Henkan", 6218.47, 2879.22, 65.00
"Villa Ekarne", 5939.04, 4374.01, 46.21
"Villa Oakhill", 6032.76, 4234.94, 44.47
"Jennyhill", 5986.79, 4264.26, 31.20
"Mannagrynskvarnen", 5973.29, 3219.71, 63.32
"Gula huset", 6302.73, 2767.85, 67.47
"Gomanhuset", 6204.29, 3300.71, 34.42
"CrossFit Sickla", 6270.71, 2462.25, 25.29
"Ekotemplet / Lusthuset på Waldermarsudde", 6100.50, 3831.30, 20.84
"Villa Bergsjölund", 6373.13, 4262.42, 26.12
"Folkets hus", 5894.79, 4452.68, 49.04
"Gotländsk lambgift", 5906.94, 4400.30, 50.87
"Logen", 5896.90, 4599.06, 54.23
"Stolpboden", 5908.13, 4600.84, 54.11
"Rökstugan och bostadshus", 5906.96, 4585.81, 53.19
"Rian", 5928.58, 4594.63, 56.22
"Kölnan", 5911.76, 4555.17, 55.12
"Soldattorpet", 5937.08, 4533.16, 48.99
"Kokhuset", 5896.47, 4590.86, 53.03
"Sjöhistoriska museet", 6283.04, 5276.99, 23.87
"Drottningens paviljong", 6413.06, 4840.09, 32.17
"Prins Bertils boulehall", 6257.98, 4773.40, 40.95
"Sirishov", 5926.09, 4948.23, 24.93
"Fårstallet", 6480.33, 5988.83, 30.80
"Häståkeriet", 6415.15, 5912.24, 31.01
"Borgen", 6243.84, 5914.22, 37.87
"Kavaljersflygeln", 6324.82, 4924.95, 23.64
"Rosendal Gårdsbutik", 6269.47, 4722.86, 38.17
"Rosendals slott", 6371.74, 4869.91, 32.47
"Rosendals Wärdshus", 6056.04, 4756.50, 43.61
"Rosendals iskällare", 6282.08, 4960.23, 22.28
