tag, x, y, z
"Molitors malmgård", 2164.42, 2760.39, 19.99
"Hornhuset", 1525.56, 3495.35, 45.20
"Bergsundsskolan", 1471.78, 3522.58, 53.33
"Pressens hus", 1999.21, 4708.92, 48.96
"Zinkensdamms IP", 2409.93, 3320.12, 37.98
"Kajsas i Tullen", 1319.99, 3336.58, 34.01
"Borgarhemmet", 1995.32, 3767.59, 48.86
"Borgarhemmet", 1938.30, 3758.30, 48.67
"Borgarhemmet", 1873.82, 3771.04, 44.23
"Borgarhemmet", 1893.06, 3734.95, 58.59
"Borgarhemmet", 1901.24, 3772.66, 47.59
"Trygg-Hansa", 2175.63, 5429.39, 50.15
"Rådhuset", 2089.71, 5085.35, 33.43
"A", 1786.25, 5584.07, 44.76
"Kungsholms kyrka", 2402.77, 4870.65, 57.76
"Tekniska nämndhuset", 2354.54, 5330.09, 46.12
"Piperska muren", 2206.31, 5072.99, 37.64
"Sankt Eriks kapell", 1971.80, 5472.98, 34.59
"B", 1743.42, 5549.51, 39.68
"C", 1778.59, 5579.15, 37.81
"Eiraskolans gymnastikhall", 2299.66, 4769.17, 38.03
"Landstingshuset", 1897.95, 4843.03, 42.76
"I", 1828.51, 4728.45, 30.05
"Landstingshuset byggnad L", 1871.42, 4785.10, 29.71
"Graverska huset", 1889.32, 4768.20, 30.64
"Landstingshuset byggnad N", 1911.09, 4771.70, 26.64
"Landstingshuset byggnad F", 1938.86, 4751.49, 28.49
"Förskolan Kronobergsparken", 1741.69, 5316.26, 45.64
"Flat Iron Building", 2421.60, 5660.51, 48.57
"Bonnierhuset", 1943.47, 5836.46, 41.36
"Bonniers konsthall", 2039.71, 5792.38, 35.07
"Stockholm Vatten", 2276.36, 5752.05, 42.13
"Vallentinhuset", 2103.37, 5886.17, 36.56
"Katarinahuset", 2072.35, 5957.14, 37.77
"Slöjdhuset", 2003.05, 5918.50, 34.16
"Sabbatsbergs kyrka", 2024.30, 5899.06, 32.95
"Nicolai", 2025.19, 5873.20, 36.56
"Klarahuset", 2058.77, 5876.00, 40.81
"Urinoar Kronobergsgatan 11", 1530.55, 5283.03, 52.55
"Tegnérs torn", 2376.58, 5750.77, 58.51
"Sportpalatset", 1607.55, 5723.64, 85.33
"Sankt Erikspalatset", 1532.42, 5751.72, 87.96
"H", 2717.81, 1443.30, 47.60
"A", 2649.66, 1481.99, 52.10
"Enskede Gård", 3437.32, 316.37, 52.18
"Årstalund", 2637.84, 1404.01, 51.86
"Capio Vårdcentral Årsta", 2471.74, 1432.42, 48.53
"Öppna förskolan", 3051.00, 1262.94, 67.23
"Telestation", 2980.68, 1132.53, 64.00
"S:t Sava serbisk-ortodoxa kyrka", 3152.52, 399.22, 44.48
"Förskolan Bägersta gård", 3430.74, 473.08, 41.63
"Blå Huset", 3209.25, 770.24, 45.20
"Gröna Huset", 3225.96, 746.76, 47.90
"Enskede värdshus", 3118.80, 277.98, 37.69
"Ahlsell", 3025.86, 517.99, 37.37
"Södermalms Trä", 2959.84, 629.42, 36.89
"C", 2688.60, 1536.71, 61.08
"Eriksdalshallen", 3353.50, 2468.34, 59.64
"Årstalidens dansbana", 2468.97, 1753.39, 48.85
"Skagershuset", 3397.65, 1319.51, 68.77
"Förskolan Mejeriet", 2989.27, 747.79, 37.91
"Lindes terrass", 3009.32, 882.28, 72.94
